Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,50,0.10,1.00,0.10,0,200,4752.0
100,50,0.10,1.00,0.10,5,200,3839.0
100,50,0.10,1.00,0.10,10,200,3781.0
100,50,0.10,1.00,0.10,15,200,3694.0
100,50,0.10,1.00,0.40,0,200,4752.0
100,50,0.10,1.00,0.40,5,200,4309.0
100,50,0.10,1.00,0.40,10,200,4366.0
100,50,0.10,1.00,0.40,15,200,4339.0
100,50,0.10,1.00,0.70,0,200,4752.0
100,50,0.10,1.00,0.70,5,200,4627.0
100,50,0.10,1.00,0.70,10,200,4451.0
100,50,0.10,1.00,0.70,15,200,4520.0
100,50,0.10,1.00,1.00,0,200,4752.0
100,50,0.10,1.00,1.00,5,200,4752.0
100,50,0.10,1.00,1.00,10,200,4790.0
100,50,0.10,1.00,1.00,15,200,4726.0
100,50,0.10,2.00,0.10,0,200,3460.0
100,50,0.10,2.00,0.10,5,200,2641.0
100,50,0.10,2.00,0.10,10,200,2710.0
100,50,0.10,2.00,0.10,15,200,2633.0
100,50,0.10,2.00,0.40,0,200,3460.0
100,50,0.10,2.00,0.40,5,200,2926.0
100,50,0.10,2.00,0.40,10,200,3030.0
100,50,0.10,2.00,0.40,15,200,2866.0
100,50,0.10,2.00,0.70,0,200,3460.0
100,50,0.10,2.00,0.70,5,200,3173.0
100,50,0.10,2.00,0.70,10,200,3186.0
100,50,0.10,2.00,0.70,15,200,3236.0
100,50,0.10,2.00,1.00,0,200,3460.0
100,50,0.10,2.00,1.00,5,200,3497.0
100,50,0.10,2.00,1.00,10,200,3420.0
100,50,0.10,2.00,1.00,15,200,3494.0
100,50,0.10,3.00,0.10,0,200,2751.0
100,50,0.10,3.00,0.10,5,200,2278.0
100,50,0.10,3.00,0.10,10,200,2271.0
100,50,0.10,3.00,0.10,15,200,2258.0
100,50,0.10,3.00,0.40,0,200,2751.0
100,50,0.10,3.00,0.40,5,200,2407.0
100,50,0.10,3.00,0.40,10,200,2363.0
100,50,0.10,3.00,0.40,15,200,2363.0
100,50,0.10,3.00,0.70,0,200,2751.0
100,50,0.10,3.00,0.70,5,200,2516.0
100,50,0.10,3.00,0.70,10,200,2523.0
100,50,0.10,3.00,0.70,15,200,2529.0
100,50,0.10,3.00,1.00,0,200,2751.0
100,50,0.10,3.00,1.00,5,200,2713.0
100,50,0.10,3.00,1.00,10,200,2658.0
100,50,0.10,3.00,1.00,15,200,2662.0
100,50,0.10,4.00,0.10,0,200,2320.0
100,50,0.10,4.00,0.10,5,200,2083.0
100,50,0.10,4.00,0.10,10,200,2048.0
100,50,0.10,4.00,0.10,15,200,2069.0
100,50,0.10,4.00,0.40,0,200,2320.0
100,50,0.10,4.00,0.40,5,200,2156.0
100,50,0.10,4.00,0.40,10,200,2066.0
100,50,0.10,4.00,0.40,15,200,2107.0
100,50,0.10,4.00,0.70,0,200,2320.0
100,50,0.10,4.00,0.70,5,200,2224.0
100,50,0.10,4.00,0.70,10,200,2169.0
100,50,0.10,4.00,0.70,15,200,2214.0
100,50,0.10,4.00,1.00,0,200,2320.0
100,50,0.10,4.00,1.00,5,200,2293.0
100,50,0.10,4.00,1.00,10,200,2330.0
100,50,0.10,4.00,1.00,15,200,2309.0
100,50,0.10,5.00,0.10,0,200,2135.0
100,50,0.10,5.00,0.10,5,200,2005.0
100,50,0.10,5.00,0.10,10,200,2012.0
100,50,0.10,5.00,0.10,15,200,2015.0
100,50,0.10,5.00,0.40,0,200,2135.0
100,50,0.10,5.00,0.40,5,200,2025.0
100,50,0.10,5.00,0.40,10,200,2072.0
100,50,0.10,5.00,0.40,15,200,2024.0
100,50,0.10,5.00,0.70,0,200,2135.0
100,50,0.10,5.00,0.70,5,200,2025.0
100,50,0.10,5.00,0.70,10,200,2092.0
100,50,0.10,5.00,0.70,15,200,2073.0
100,50,0.10,5.00,1.00,0,200,2135.0
100,50,0.10,5.00,1.00,5,200,2157.0
100,50,0.10,5.00,1.00,10,200,2126.0
100,50,0.10,5.00,1.00,15,200,2155.0
100,50,0.60,1.00,0.10,0,200,4752.0
100,50,0.60,1.00,0.10,5,200,2592.0
100,50,0.60,1.00,0.10,10,200,2557.0
100,50,0.60,1.00,0.10,15,200,2658.0
100,50,0.60,1.00,0.40,0,200,4752.0
100,50,0.60,1.00,0.40,5,200,2649.0
100,50,0.60,1.00,0.40,10,200,2753.0
100,50,0.60,1.00,0.40,15,200,2690.0
100,50,0.60,1.00,0.70,0,200,4752.0
100,50,0.60,1.00,0.70,5,200,2919.0
100,50,0.60,1.00,0.70,10,200,2868.0
100,50,0.60,1.00,0.70,15,200,2926.0
100,50,0.60,1.00,1.00,0,200,4752.0
100,50,0.60,1.00,1.00,5,200,4720.0
100,50,0.60,1.00,1.00,10,200,4624.0
100,50,0.60,1.00,1.00,15,200,4459.0
100,50,0.60,2.00,0.10,0,200,3460.0
100,50,0.60,2.00,0.10,5,200,2129.0
100,50,0.60,2.00,0.10,10,200,2115.0
100,50,0.60,2.00,0.10,15,200,2093.0
100,50,0.60,2.00,0.40,0,200,3460.0
100,50,0.60,2.00,0.40,5,200,2188.0
100,50,0.60,2.00,0.40,10,200,2181.0
100,50,0.60,2.00,0.40,15,200,2123.0
100,50,0.60,2.00,0.70,0,200,3460.0
100,50,0.60,2.00,0.70,5,200,2175.0
100,50,0.60,2.00,0.70,10,200,2183.0
100,50,0.60,2.00,0.70,15,200,2203.0
100,50,0.60,2.00,1.00,0,200,3460.0
100,50,0.60,2.00,1.00,5,200,3215.0
100,50,0.60,2.00,1.00,10,200,3137.0
100,50,0.60,2.00,1.00,15,200,3111.0
100,50,0.60,3.00,0.10,0,200,2751.0
100,50,0.60,3.00,0.10,5,200,1994.0
100,50,0.60,3.00,0.10,10,200,1948.0
100,50,0.60,3.00,0.10,15,200,1987.0
100,50,0.60,3.00,0.40,0,200,2751.0
100,50,0.60,3.00,0.40,5,200,1983.0
100,50,0.60,3.00,0.40,10,200,1925.0
100,50,0.60,3.00,0.40,15,200,1982.0
100,50,0.60,3.00,0.70,0,200,2751.0
100,50,0.60,3.00,0.70,5,200,2026.0
100,50,0.60,3.00,0.70,10,200,2010.0
100,50,0.60,3.00,0.70,15,200,2009.0
100,50,0.60,3.00,1.00,0,200,2751.0
100,50,0.60,3.00,1.00,5,200,2550.0
100,50,0.60,3.00,1.00,10,200,2464.0
100,50,0.60,3.00,1.00,15,200,2353.0
100,50,0.60,4.00,0.10,0,200,2320.0
100,50,0.60,4.00,0.10,5,200,1895.0
100,50,0.60,4.00,0.10,10,200,1929.0
100,50,0.60,4.00,0.10,15,200,1878.0
100,50,0.60,4.00,0.40,0,200,2320.0
100,50,0.60,4.00,0.40,5,200,1919.0
100,50,0.60,4.00,0.40,10,200,1945.0
100,50,0.60,4.00,0.40,15,200,1948.0
100,50,0.60,4.00,0.70,0,200,2320.0
100,50,0.60,4.00,0.70,5,200,1951.0
100,50,0.60,4.00,0.70,10,200,1929.0
100,50,0.60,4.00,0.70,15,200,1929.0
100,50,0.60,4.00,1.00,0,200,2320.0
100,50,0.60,4.00,1.00,5,200,2187.0
100,50,0.60,4.00,1.00,10,200,2148.0
100,50,0.60,4.00,1.00,15,200,2089.0
100,50,0.60,5.00,0.10,0,200,2135.0
100,50,0.60,5.00,0.10,5,200,1875.0
100,50,0.60,5.00,0.10,10,200,1896.0
100,50,0.60,5.00,0.10,15,200,1889.0
100,50,0.60,5.00,0.40,0,200,2135.0
100,50,0.60,5.00,0.40,5,200,1898.0
100,50,0.60,5.00,0.40,10,200,1876.0
100,50,0.60,5.00,0.40,15,200,1907.0
100,50,0.60,5.00,0.70,0,200,2135.0
100,50,0.60,5.00,0.70,5,200,1912.0
100,50,0.60,5.00,0.70,10,200,1889.0
100,50,0.60,5.00,0.70,15,200,1873.0
100,50,0.60,5.00,1.00,0,200,2135.0
100,50,0.60,5.00,1.00,5,200,2070.0
100,50,0.60,5.00,1.00,10,200,1995.0
100,50,0.60,5.00,1.00,15,200,1964.0
100,50,1.10,1.00,0.10,0,200,4752.0
100,50,1.10,1.00,0.10,5,200,1932.0
100,50,1.10,1.00,0.10,10,200,1912.0
100,50,1.10,1.00,0.10,15,200,1987.0
100,50,1.10,1.00,0.40,0,200,4752.0
100,50,1.10,1.00,0.40,5,200,1954.0
100,50,1.10,1.00,0.40,10,200,1887.0
100,50,1.10,1.00,0.40,15,200,1880.0
100,50,1.10,1.00,0.70,0,200,4752.0
100,50,1.10,1.00,0.70,5,200,1872.0
100,50,1.10,1.00,0.70,10,200,1889.0
100,50,1.10,1.00,0.70,15,200,1894.0
100,50,1.10,1.00,1.00,0,200,4752.0
100,50,1.10,1.00,1.00,5,200,4588.0
100,50,1.10,1.00,1.00,10,200,4380.0
100,50,1.10,1.00,1.00,15,200,4143.0
100,50,1.10,2.00,0.10,0,200,3460.0
100,50,1.10,2.00,0.10,5,200,1950.0
100,50,1.10,2.00,0.10,10,200,1910.0
100,50,1.10,2.00,0.10,15,200,1875.0
100,50,1.10,2.00,0.40,0,200,3460.0
100,50,1.10,2.00,0.40,5,200,1870.0
100,50,1.10,2.00,0.40,10,200,1875.0
100,50,1.10,2.00,0.40,15,200,1861.0
100,50,1.10,2.00,0.70,0,200,3460.0
100,50,1.10,2.00,0.70,5,200,1862.0
100,50,1.10,2.00,0.70,10,200,1911.0
100,50,1.10,2.00,0.70,15,200,1853.0
100,50,1.10,2.00,1.00,0,200,3460.0
100,50,1.10,2.00,1.00,5,200,3048.0
100,50,1.10,2.00,1.00,10,200,2872.0
100,50,1.10,2.00,1.00,15,200,2759.0
100,50,1.10,3.00,0.10,0,200,2751.0
100,50,1.10,3.00,0.10,5,200,1908.0
100,50,1.10,3.00,0.10,10,200,1907.0
100,50,1.10,3.00,0.10,15,200,1886.0
100,50,1.10,3.00,0.40,0,200,2751.0
100,50,1.10,3.00,0.40,5,200,1894.0
100,50,1.10,3.00,0.40,10,200,1861.0
100,50,1.10,3.00,0.40,15,200,1846.0
100,50,1.10,3.00,0.70,0,200,2751.0
100,50,1.10,3.00,0.70,5,200,1848.0
100,50,1.10,3.00,0.70,10,200,1881.0
100,50,1.10,3.00,0.70,15,200,1830.0
100,50,1.10,3.00,1.00,0,200,2751.0
100,50,1.10,3.00,1.00,5,200,2389.0
100,50,1.10,3.00,1.00,10,200,2200.0
100,50,1.10,3.00,1.00,15,200,2188.0
100,50,1.10,4.00,0.10,0,200,2320.0
100,50,1.10,4.00,0.10,5,200,1892.0
100,50,1.10,4.00,0.10,10,200,1877.0
100,50,1.10,4.00,0.10,15,200,1854.0
100,50,1.10,4.00,0.40,0,200,2320.0
100,50,1.10,4.00,0.40,5,200,1875.0
100,50,1.10,4.00,0.40,10,200,1857.0
100,50,1.10,4.00,0.40,15,200,1887.0
100,50,1.10,4.00,0.70,0,200,2320.0
100,50,1.10,4.00,0.70,5,200,1877.0
100,50,1.10,4.00,0.70,10,200,1862.0
100,50,1.10,4.00,0.70,15,200,1875.0
100,50,1.10,4.00,1.00,0,200,2320.0
100,50,1.10,4.00,1.00,5,200,2116.0
100,50,1.10,4.00,1.00,10,200,2040.0
100,50,1.10,4.00,1.00,15,200,1996.0
100,50,1.10,5.00,0.10,0,200,2135.0
100,50,1.10,5.00,0.10,5,200,1868.0
100,50,1.10,5.00,0.10,10,200,1849.0
100,50,1.10,5.00,0.10,15,200,1879.0
100,50,1.10,5.00,0.40,0,200,2135.0
100,50,1.10,5.00,0.40,5,200,1890.0
100,50,1.10,5.00,0.40,10,200,1852.0
100,50,1.10,5.00,0.40,15,200,1892.0
100,50,1.10,5.00,0.70,0,200,2135.0
100,50,1.10,5.00,0.70,5,200,1887.0
100,50,1.10,5.00,0.70,10,200,1864.0
100,50,1.10,5.00,0.70,15,200,1881.0
100,50,1.10,5.00,1.00,0,200,2135.0
100,50,1.10,5.00,1.00,5,200,2013.0
100,50,1.10,5.00,1.00,10,200,1933.0
100,50,1.10,5.00,1.00,15,200,1934.0
100,50,1.60,1.00,0.10,0,200,4752.0
100,50,1.60,1.00,0.10,5,200,2090.0
100,50,1.60,1.00,0.10,10,200,2115.0
100,50,1.60,1.00,0.10,15,200,2220.0
100,50,1.60,1.00,0.40,0,200,4752.0
100,50,1.60,1.00,0.40,5,200,1999.0
100,50,1.60,1.00,0.40,10,200,2025.0
100,50,1.60,1.00,0.40,15,200,2053.0
100,50,1.60,1.00,0.70,0,200,4752.0
100,50,1.60,1.00,0.70,5,200,1940.0
100,50,1.60,1.00,0.70,10,200,1950.0
100,50,1.60,1.00,0.70,15,200,1963.0
100,50,1.60,1.00,1.00,0,200,4752.0
100,50,1.60,1.00,1.00,5,200,4447.0
100,50,1.60,1.00,1.00,10,200,4179.0
100,50,1.60,1.00,1.00,15,200,3798.0
100,50,1.60,2.00,0.10,0,200,3460.0
100,50,1.60,2.00,0.10,5,200,1982.0
100,50,1.60,2.00,0.10,10,200,1940.0
100,50,1.60,2.00,0.10,15,200,1936.0
100,50,1.60,2.00,0.40,0,200,3460.0
100,50,1.60,2.00,0.40,5,200,1886.0
100,50,1.60,2.00,0.40,10,200,1900.0
100,50,1.60,2.00,0.40,15,200,1962.0
100,50,1.60,2.00,0.70,0,200,3460.0
100,50,1.60,2.00,0.70,5,200,1900.0
100,50,1.60,2.00,0.70,10,200,1863.0
100,50,1.60,2.00,0.70,15,200,1852.0
100,50,1.60,2.00,1.00,0,200,3460.0
100,50,1.60,2.00,1.00,5,200,2853.0
100,50,1.60,2.00,1.00,10,200,2565.0
100,50,1.60,2.00,1.00,15,200,2386.0
100,50,1.60,3.00,0.10,0,200,2506.0
100,50,1.60,3.00,0.10,5,200,1851.0
100,50,1.60,3.00,0.10,10,200,1917.0
100,50,1.60,3.00,0.10,15,200,1900.0
100,50,1.60,3.00,0.40,0,200,2751.0
100,50,1.60,3.00,0.40,5,200,1880.0
100,50,1.60,3.00,0.40,10,200,1864.0
100,50,1.60,3.00,0.40,15,200,1859.0
100,50,1.60,3.00,0.70,0,200,2751.0
100,50,1.60,3.00,0.70,5,200,1859.0
100,50,1.60,3.00,0.70,10,200,1897.0
100,50,1.60,3.00,0.70,15,200,1843.0
100,50,1.60,3.00,1.00,0,200,2751.0
100,50,1.60,3.00,1.00,5,200,2221.0
100,50,1.60,3.00,1.00,10,200,2056.0
100,50,1.60,3.00,1.00,15,200,1973.0
100,50,1.60,4.00,0.10,0,200,2320.0
100,50,1.60,4.00,0.10,5,200,1920.0
100,50,1.60,4.00,0.10,10,200,1897.0
100,50,1.60,4.00,0.10,15,200,1855.0
100,50,1.60,4.00,0.40,0,200,2320.0
100,50,1.60,4.00,0.40,5,200,1867.0
100,50,1.60,4.00,0.40,10,200,1859.0
100,50,1.60,4.00,0.40,15,200,1857.0
100,50,1.60,4.00,0.70,0,200,2320.0
100,50,1.60,4.00,0.70,5,200,1861.0
100,50,1.60,4.00,0.70,10,200,1855.0
100,50,1.60,4.00,0.70,15,200,1862.0
100,50,1.60,4.00,1.00,0,200,2320.0
100,50,1.60,4.00,1.00,5,200,2005.0
100,50,1.60,4.00,1.00,10,200,1955.0
100,50,1.60,4.00,1.00,15,200,1910.0
100,50,1.60,5.00,0.10,0,200,2135.0
100,50,1.60,5.00,0.10,5,200,1843.0
100,50,1.60,5.00,0.10,10,200,1897.0
100,50,1.60,5.00,0.10,15,200,1914.0
100,50,1.60,5.00,0.40,0,200,2135.0
100,50,1.60,5.00,0.40,5,200,1893.0
100,50,1.60,5.00,0.40,10,200,1859.0
100,50,1.60,5.00,0.40,15,200,1861.0
100,50,1.60,5.00,0.70,0,200,2135.0
100,50,1.60,5.00,0.70,5,200,1853.0
100,50,1.60,5.00,0.70,10,200,1891.0
100,50,1.60,5.00,0.70,15,200,1854.0
100,50,1.60,5.00,1.00,0,200,2135.0
100,50,1.60,5.00,1.00,5,200,1933.0
100,50,1.60,5.00,1.00,10,200,1887.0
100,50,1.60,5.00,1.00,15,200,1895.0
100,50,2.10,1.00,0.10,0,200,4752.0
100,50,2.10,1.00,0.10,5,200,2234.0
100,50,2.10,1.00,0.10,10,200,2294.0
100,50,2.10,1.00,0.10,15,200,2372.0
100,50,2.10,1.00,0.40,0,200,4752.0
100,50,2.10,1.00,0.40,5,200,2167.0
100,50,2.10,1.00,0.40,10,200,2148.0
100,50,2.10,1.00,0.40,15,200,2183.0
100,50,2.10,1.00,0.70,0,200,4752.0
100,50,2.10,1.00,0.70,5,200,2012.0
100,50,2.10,1.00,0.70,10,200,2031.0
100,50,2.10,1.00,0.70,15,200,2064.0
100,50,2.10,1.00,1.00,0,200,4752.0
100,50,2.10,1.00,1.00,5,200,4159.0
100,50,2.10,1.00,1.00,10,200,3840.0
100,50,2.10,1.00,1.00,15,200,3475.0
100,50,2.10,2.00,0.10,0,200,3460.0
100,50,2.10,2.00,0.10,5,200,2013.0
100,50,2.10,2.00,0.10,10,200,1956.0
100,50,2.10,2.00,0.10,15,200,1959.0
100,50,2.10,2.00,0.40,0,200,3460.0
100,50,2.10,2.00,0.40,5,200,1973.0
100,50,2.10,2.00,0.40,10,200,1915.0
100,50,2.10,2.00,0.40,15,200,1986.0
100,50,2.10,2.00,0.70,0,200,3460.0
100,50,2.10,2.00,0.70,5,200,1884.0
100,50,2.10,2.00,0.70,10,200,1984.0
100,50,2.10,2.00,0.70,15,200,1886.0
100,50,2.10,2.00,1.00,0,200,3460.0
100,50,2.10,2.00,1.00,5,200,2578.0
100,50,2.10,2.00,1.00,10,200,2218.0
100,50,2.10,2.00,1.00,15,200,2058.0
100,50,2.10,3.00,0.10,0,200,2515.0
100,50,2.10,3.00,0.10,5,200,1936.0
100,50,2.10,3.00,0.10,10,200,1918.0
100,50,2.10,3.00,0.10,15,200,1881.0
100,50,2.10,3.00,0.40,0,200,2751.0
100,50,2.10,3.00,0.40,5,200,1907.0
100,50,2.10,3.00,0.40,10,200,1944.0
100,50,2.10,3.00,0.40,15,200,1906.0
100,50,2.10,3.00,0.70,0,200,2751.0
100,50,2.10,3.00,0.70,5,200,1856.0
100,50,2.10,3.00,0.70,10,200,1852.0
100,50,2.10,3.00,0.70,15,200,1900.0
100,50,2.10,3.00,1.00,0,200,2751.0
100,50,2.10,3.00,1.00,5,200,2052.0
100,50,2.10,3.00,1.00,10,200,1963.0
100,50,2.10,3.00,1.00,15,200,1893.0
100,50,2.10,4.00,0.10,0,200,2258.0
100,50,2.10,4.00,0.10,5,200,1885.0
100,50,2.10,4.00,0.10,10,200,1862.0
100,50,2.10,4.00,0.10,15,200,1888.0
100,50,2.10,4.00,0.40,0,200,2320.0
100,50,2.10,4.00,0.40,5,200,1858.0
100,50,2.10,4.00,0.40,10,200,1876.0
100,50,2.10,4.00,0.40,15,200,1857.0
100,50,2.10,4.00,0.70,0,200,2320.0
100,50,2.10,4.00,0.70,5,200,1851.0
100,50,2.10,4.00,0.70,10,200,1882.0
100,50,2.10,4.00,0.70,15,200,1855.0
100,50,2.10,4.00,1.00,0,200,2320.0
100,50,2.10,4.00,1.00,5,200,1943.0
100,50,2.10,4.00,1.00,10,200,1889.0
100,50,2.10,4.00,1.00,15,200,1881.0
100,50,2.10,5.00,0.10,0,200,2135.0
100,50,2.10,5.00,0.10,5,200,1870.0
100,50,2.10,5.00,0.10,10,200,1865.0
100,50,2.10,5.00,0.10,15,200,1878.0
100,50,2.10,5.00,0.40,0,200,2135.0
100,50,2.10,5.00,0.40,5,200,1861.0
100,50,2.10,5.00,0.40,10,200,1895.0
100,50,2.10,5.00,0.40,15,200,1876.0
100,50,2.10,5.00,0.70,0,200,2135.0
100,50,2.10,5.00,0.70,5,200,1880.0
100,50,2.10,5.00,0.70,10,200,1875.0
100,50,2.10,5.00,0.70,15,200,1861.0
100,50,2.10,5.00,1.00,0,200,2135.0
100,50,2.10,5.00,1.00,5,200,1874.0
100,50,2.10,5.00,1.00,10,200,1868.0
100,50,2.10,5.00,1.00,15,200,1867.0
100,50,2.60,1.00,0.10,0,200,4661.0
100,50,2.60,1.00,0.10,5,200,2310.0
100,50,2.60,1.00,0.10,10,200,2357.0
100,50,2.60,1.00,0.10,15,200,2206.0
100,50,2.60,1.00,0.40,0,200,4752.0
100,50,2.60,1.00,0.40,5,200,2168.0
100,50,2.60,1.00,0.40,10,200,2311.0
100,50,2.60,1.00,0.40,15,200,2216.0
100,50,2.60,1.00,0.70,0,200,4752.0
100,50,2.60,1.00,0.70,5,200,2079.0
100,50,2.60,1.00,0.70,10,200,2025.0
100,50,2.60,1.00,0.70,15,200,2016.0
100,50,2.60,1.00,1.00,0,200,4752.0
100,50,2.60,1.00,1.00,5,200,4172.0
100,50,2.60,1.00,1.00,10,200,3570.0
100,50,2.60,1.00,1.00,15,200,2972.0
100,50,2.60,2.00,0.10,0,200,3340.0
100,50,2.60,2.00,0.10,5,200,1901.0
100,50,2.60,2.00,0.10,10,200,1993.0
100,50,2.60,2.00,0.10,15,200,2033.0
100,50,2.60,2.00,0.40,0,200,3460.0
100,50,2.60,2.00,0.40,5,200,1930.0
100,50,2.60,2.00,0.40,10,200,1969.0
100,50,2.60,2.00,0.40,15,200,1953.0
100,50,2.60,2.00,0.70,0,200,3460.0
100,50,2.60,2.00,0.70,5,200,1938.0
100,50,2.60,2.00,0.70,10,200,1937.0
100,50,2.60,2.00,0.70,15,200,1921.0
100,50,2.60,2.00,1.00,0,200,3460.0
100,50,2.60,2.00,1.00,5,200,2469.0
100,50,2.60,2.00,1.00,10,200,2033.0
100,50,2.60,2.00,1.00,15,200,1904.0
100,50,2.60,3.00,0.10,0,200,2751.0
100,50,2.60,3.00,0.10,5,200,1915.0
100,50,2.60,3.00,0.10,10,200,1929.0
100,50,2.60,3.00,0.10,15,200,1936.0
100,50,2.60,3.00,0.40,0,200,2751.0
100,50,2.60,3.00,0.40,5,200,1889.0
100,50,2.60,3.00,0.40,10,200,1889.0
100,50,2.60,3.00,0.40,15,200,1924.0
100,50,2.60,3.00,0.70,0,200,2751.0
100,50,2.60,3.00,0.70,5,200,1892.0
100,50,2.60,3.00,0.70,10,200,1881.0
100,50,2.60,3.00,0.70,15,200,1873.0
100,50,2.60,3.00,1.00,0,200,2751.0
100,50,2.60,3.00,1.00,5,200,2017.0
100,50,2.60,3.00,1.00,10,200,1896.0
100,50,2.60,3.00,1.00,15,200,1871.0
100,50,2.60,4.00,0.10,0,200,2344.0
100,50,2.60,4.00,0.10,5,200,1917.0
100,50,2.60,4.00,0.10,10,200,1897.0
100,50,2.60,4.00,0.10,15,200,1891.0
100,50,2.60,4.00,0.40,0,200,2320.0
100,50,2.60,4.00,0.40,5,200,1896.0
100,50,2.60,4.00,0.40,10,200,1859.0
100,50,2.60,4.00,0.40,15,200,1860.0
100,50,2.60,4.00,0.70,0,200,2320.0
100,50,2.60,4.00,0.70,5,200,1876.0
100,50,2.60,4.00,0.70,10,200,1868.0
100,50,2.60,4.00,0.70,15,200,1846.0
100,50,2.60,4.00,1.00,0,200,2320.0
100,50,2.60,4.00,1.00,5,200,1893.0
100,50,2.60,4.00,1.00,10,200,1856.0
100,50,2.60,4.00,1.00,15,200,1842.0
100,50,2.60,5.00,0.10,0,200,2135.0
100,50,2.60,5.00,0.10,5,200,1889.0
100,50,2.60,5.00,0.10,10,200,1893.0
100,50,2.60,5.00,0.10,15,200,1919.0
100,50,2.60,5.00,0.40,0,200,2135.0
100,50,2.60,5.00,0.40,5,200,1877.0
100,50,2.60,5.00,0.40,10,200,1879.0
100,50,2.60,5.00,0.40,15,200,1894.0
100,50,2.60,5.00,0.70,0,200,2135.0
100,50,2.60,5.00,0.70,5,200,1846.0
100,50,2.60,5.00,0.70,10,200,1889.0
100,50,2.60,5.00,0.70,15,200,1891.0
100,50,2.60,5.00,1.00,0,200,2135.0
100,50,2.60,5.00,1.00,5,200,1853.0
100,50,2.60,5.00,1.00,10,200,1847.0
100,50,2.60,5.00,1.00,15,200,1839.0
100,100,0.10,1.00,0.10,0,200,4751.0
100,100,0.10,1.00,0.10,5,200,4223.0
100,100,0.10,1.00,0.10,10,200,4201.0
100,100,0.10,1.00,0.10,15,200,4117.0
100,100,0.10,1.00,0.40,0,200,4751.0
100,100,0.10,1.00,0.40,5,200,4544.0
100,100,0.10,1.00,0.40,10,200,4523.0
100,100,0.10,1.00,0.40,15,200,4522.0
